Copyright Central Council of Church Bell Ringers, December 2011
Alliance Minor methods (treble dodging in 1-2)

No.	Name	Notation	hl	le	lh	RW ref
No.	Name	Notation	hl	le	lh	RW ref

16154	Guist	34-36.14-36-1236-	56	12	f	94/378

Alliance Minor methods
(treble's path 1 2 3  4 3  4 5  6 6    5 5)

No.	Name	Notation	hl	le	lh	RW ref

16155	Oxwick	-14-12-36-1236-	56	16	134625	94/685

Alliance Minor methods
    (treble's path 1 2 3  4 5  6 6    5 4  3 3)

No.	Name	Notation	hl	le	lh	RW ref

16156	Kelling	-16-36-1236-36-	36	12	f	94/378

Little Alliance Minor methods (treble to 3rds dodging in 1-2)

No.	Name	Notation	hl	le	lh	RW ref

16157	Little Dunham Little	-34-16.	34	12	a	94/685

Little Alliance Minor methods (treble to 4ths dodging in 1-2)

No.	Name	Notation	hl	le	lh	RW ref

16158	River Wey Little	-34-16-	34	12	a	92/271
16159	St Mary Little	34-34.16-	34	12	142563	92/595
16160	Cornhill Little	34-36.14-	34	12	f	61/393
16161	Cripplegate Little	34-36.14-	34	16	l	61/393

Little Alliance Minor methods (treble to 4ths dodging in 3-4)

No.	Name	Notation	hl	le	lh	RW ref

16162	Avebury Little	-14-12-	34	16	134625	90/324

Little Alliance Minor methods
          (treble's path 1 2 3  4 4    3 3)

No.	Name	Notation	hl	le	lh	RW ref

16163	Brandon Parva Little	-14-1234-	34	16	134625	94/378
16164	St Dympna Little	-16-34-	36	16	134625	92/595

Little Alliance Minor methods
        (treble's path 1 2 1  2 3  4 4  3 2  1 1)

No.	Name	Notation	hl	le	lh	RW ref

16165	Offa's Dyke Little	-36-14-14-14-	12	12	e	92/1006

Little Alliance Minor methods
      (treble's path 1 2  1 2  3  4 4  3 2  1  2 1  1)

No.	Name	Notation	hl	le	lh	RW ref

16166	St Martha Little	34-34.16-34-16.34-34.	16	12	a	92/271

Alliance Triples methods (treble dodging in 6-7)

No.	Name	Notation	hl	le	lh	Tower bells	RW ref

16167	Berkeley	7.1.5.3.7.345.5.345.	7	127	q	Spliced	97/510
16168	Barbury	7.1.5.3.7.5.345.5.	7	127	q	Spliced	97/510
16169	Buckfast Abbey	7.145.5.3.7.345.5.345.	7	127	q	Spliced	97/510
16170	Blunsdon Abbey	7.145.5.3.7.5.345.5.	7	127	q	Spliced	97/510

Alliance Triples methods
   (treble's path 1 2 3 4 3   4 5 6 5   6 7 7 7)

No.	Name	Notation	hl	le	lh	Tower bells	RW ref

16171	J R Hartley's	7.1.7.127.7.1.7.127.7.1.7.	127	1	s	Spliced	04/202
