#t   #theta   #omega   #xddot    #yddot
2.73 -3.08423 0.110067 0.738207 -9.79629
2.74 -3.08308 0.118942 0.752923 -9.79604
2.75 -3.08185 0.127998 0.768791 -9.79577
2.76 -3.08052 0.137251 0.785834 -9.79548
2.77 -3.0791 0.146714 0.804078 -9.79516
2.78 -3.07759 0.156401 0.82355 -9.7948
2.79 -3.07597 0.166327 0.84428 -9.79442
2.8 -3.07426 0.176508 0.8663 -9.794
2.81 -3.07244 0.186958 0.889642 -9.79355
2.82 -3.07052 0.197695 0.914341 -9.79305
2.83 -3.06849 0.208734 0.940435 -9.79251
2.84 -3.06634 0.220092 0.967962 -9.79193
2.85 -3.06408 0.231786 0.996965 -9.79129
2.86 -3.06171 0.243835 1.02749 -9.79061
2.87 -3.05921 0.256257 1.05957 -9.78986
2.88 -3.05658 0.269069 1.09327 -9.78905
2.89 -3.05382 0.282293 1.12863 -9.78818
2.9 -3.05093 0.295948 1.1657 -9.78723
2.91 -3.0479 0.310055 1.20454 -9.7862
2.92 -3.04473 0.324635 1.24521 -9.78509
2.93 -3.04141 0.339711 1.28777 -9.78389
2.94 -3.03793 0.355304 1.33227 -9.78259
2.95 -3.0343 0.371439 1.3788 -9.78118
2.96 -3.0305 0.388141 1.4274 -9.77966
2.97 -3.02654 0.405434 1.47815 -9.77801
2.98 -3.02239 0.423344 1.53114 -9.77623
2.99 -3.01807 0.441898 1.58642 -9.77431
3 -3.01355 0.461125 1.64409 -9.77222
3.01 -3.00884 0.481053 1.70422 -9.76997
3.02 -3.00393 0.501712 1.76691 -9.76753
3.03 -2.99881 0.523133 1.83223 -9.7649
3.04 -2.99346 0.545347 1.90028 -9.76205
3.05 -2.9879 0.568389 1.97116 -9.75897
3.06 -2.98209 0.592291 2.04496 -9.75564
3.07 -2.97605 0.61709 2.12178 -9.75204
3.08 -2.96975 0.642822 2.20173 -9.74815
3.09 -2.96319 0.669525 2.28491 -9.74395
3.1 -2.95635 0.697238 2.37144 -9.7394
3.11 -2.94924 0.726002 2.46142 -9.73449
3.12 -2.94183 0.755858 2.55498 -9.72918
3.13 -2.93412 0.786849 2.65224 -9.72344
3.14 -2.92609 0.819021 2.7533 -9.71724
3.15 -2.91773 0.85242 2.85831 -9.71055
3.16 -2.90904 0.887092 2.96738 -9.70331
3.17 -2.89999 0.923088 3.08064 -9.69549
3.18 -2.89057 0.960458 3.19822 -9.68704
3.19 -2.88077 0.999254 3.32026 -9.67792
3.2 -2.87058 1.03953 3.44689 -9.66807
3.21 -2.85998 1.08134 3.57823 -9.65742
3.22 -2.84895 1.12475 3.71442 -9.64593
3.23 -2.83748 1.1698 3.85559 -9.63353
3.24 -2.82555 1.21657 4.00188 -9.62014
3.25 -2.81314 1.2651 4.1534 -9.60568
3.26 -2.80024 1.31548 4.31028 -9.59008
3.27 -2.78682 1.36775 4.47264 -9.57325
3.28 -2.77288 1.42199 4.6406 -9.55509
3.29 -2.75838 1.47826 4.81425 -9.53551
3.3 -2.74331 1.53664 4.99369 -9.51439
3.31 -2.72764 1.59718 5.179 -9.49162
3.32 -2.71135 1.65997 5.37026 -9.46708
3.33 -2.69443 1.72507 5.56753 -9.44064
3.34 -2.67684 1.79256 5.77082 -9.41215
3.35 -2.65857 1.8625 5.98017 -9.38147
3.36 -2.63959 1.93497 6.19556 -9.34845
3.37 -2.61986 2.01003 6.41695 -9.31291
3.38 -2.59938 2.08777 6.64428 -9.27468
3.39 -2.5781 2.16825 6.87743 -9.23358
3.4 -2.556 2.25154 7.11625 -9.18941
3.41 -2.53306 2.33771 7.36055 -9.14195
3.42 -2.50924 2.42682 7.61008 -9.09101
3.43 -2.48451 2.51892 7.86453 -9.03634
3.44 -2.45885 2.61408 8.12354 -8.97773
3.45 -2.43222 2.71236 8.38664 -8.91492
3.46 -2.40459 2.81378 8.65332 -8.84766
3.47 -2.37593 2.9184 8.92296 -8.77569
3.48 -2.34621 3.02624 9.19486 -8.69876
3.49 -2.3154 3.13733 9.46819 -8.6166
3.5 -2.28346 3.25168 9.74203 -8.52893
3.51 -2.25035 3.36928 10.0153 -8.43549
3.52 -2.21606 3.49013 10.2869 -8.33602
3.53 -2.18054 3.61419 10.5554 -8.23025
3.54 -2.14376 3.74143 10.8193 -8.11794
3.55 -2.1057 3.87177 11.0771 -7.99886
3.56 -2.06632 4.00514 11.3269 -7.8728
3.57 -2.02559 4.14142 11.5668 -7.73957
3.58 -1.98348 4.28049 11.7947 -7.59903
3.59 -1.93997 4.42219 12.0081 -7.45105
3.6 -1.89503 4.56633 12.2047 -7.29557
3.61 -1.84864 4.7127 12.3818 -7.13259
3.62 -1.80077 4.86105 12.5366 -6.96216
3.63 -1.75141 5.01109 12.6662 -6.78441
3.64 -1.70054 5.16251 12.7674 -6.59955
3.65 -1.64816 5.31496 12.8371 -6.40789
3.66 -1.59424 5.46802 12.8721 -6.20983
3.67 -1.53879 5.62128 12.869 -6.00588
3.68 -1.48182 5.77426 12.8247 -5.79669
3.69 -1.42331 5.92646 12.7358 -5.58299
3.7 -1.36329 6.07731 12.5994 -5.3657
3.71 -1.30177 6.22624 12.4125 -5.14581
3.72 -1.23878 6.37263 12.1724 -4.92448
3.73 -1.17433 6.51584 11.8769 -4.703
3.74 -1.10847 6.65519 11.5239 -4.48275
3.75 -1.04124 6.78999 11.1121 -4.26527
3.76 -0.972689 6.91953 10.6405 -4.05216
3.77 -0.902871 7.04309 10.1088 -3.84512
3.78 -0.83185 7.15997 9.51739 -3.64591
3.79 -0.759696 7.26946 8.86746 -3.45633
3.8 -0.686488 7.37088 8.16088 -3.27816
3.81 -0.612308 7.46356 7.40036 -3.11318
3.82 -0.537248 7.54688 6.5894 -2.9631
3.83 -0.461403 7.62026 5.7323 -2.82953
3.84 -0.384877 7.6832 4.83409 -2.71396
3.85 -0.307776 7.73522 3.90054 -2.6177
3.86 -0.23021 7.77595 2.93799 -2.54189
3.87 -0.152295 7.80509 1.95333 -2.48742
3.88 -0.0741481 7.8224 0.953829 -2.45495
