#t   #theta   #omega   #xddot    #yddot
3.43 -2.48451 2.51892 10.6733 -10.9398
3.44 -2.45885 2.61408 11.0248 -11.0278
3.45 -2.43222 2.71236 11.3819 -11.122
3.46 -2.40459 2.81378 11.7438 -11.2229
3.47 -2.37593 2.9184 12.1097 -11.3308
3.48 -2.34621 3.02624 12.4787 -11.4462
3.49 -2.3154 3.13733 12.8497 -11.5695
3.5 -2.28346 3.25168 13.2213 -11.701
3.51 -2.25035 3.36928 13.5922 -11.8411
3.52 -2.21606 3.49013 13.9608 -11.9903
3.53 -2.18054 3.61419 14.3251 -12.149
3.54 -2.14376 3.74143 14.6834 -12.3174
3.55 -2.1057 3.87177 15.0332 -12.4961
3.56 -2.06632 4.00514 15.3723 -12.6851
3.57 -2.02559 4.14142 15.6979 -12.885
3.58 -1.98348 4.28049 16.0071 -13.0958
3.59 -1.93997 4.42219 16.2968 -13.3178
3.6 -1.89503 4.56633 16.5636 -13.551
3.61 -1.84864 4.7127 16.8039 -13.7955
3.62 -1.80077 4.86105 17.014 -14.0511
3.63 -1.75141 5.01109 17.1898 -14.3177
3.64 -1.70054 5.16251 17.3272 -14.595
3.65 -1.64816 5.31496 17.4218 -14.8825
3.66 -1.59424 5.46802 17.4693 -15.1796
3.67 -1.53879 5.62128 17.4651 -15.4855
3.68 -1.48182 5.77426 17.4049 -15.7993
3.69 -1.42331 5.92646 17.2844 -16.1199
3.7 -1.36329 6.07731 17.0992 -16.4458
3.71 -1.30177 6.22624 16.8455 -16.7756
3.72 -1.23878 6.37263 16.5197 -17.1076
3.73 -1.17433 6.51584 16.1186 -17.4399
3.74 -1.10847 6.65519 15.6396 -17.7702
3.75 -1.04124 6.78999 15.0807 -18.0964
3.76 -0.972689 6.91953 14.4406 -18.4161
3.77 -0.902871 7.04309 13.719 -18.7267
3.78 -0.83185 7.15997 12.9165 -19.0255
3.79 -0.759696 7.26946 12.0344 -19.3099
3.8 -0.686488 7.37088 11.0755 -19.5771
3.81 -0.612308 7.46356 10.0433 -19.8246
3.82 -0.537248 7.54688 8.94276 -20.0497
3.83 -0.461403 7.62026 7.77954 -20.2501
3.84 -0.384877 7.6832 6.56055 -20.4234
3.85 -0.307776 7.73522 5.29359 -20.5678
3.86 -0.23021 7.77595 3.98727 -20.6815
3.87 -0.152295 7.80509 2.65095 -20.7632
3.88 -0.0741481 7.8224 1.29448 -20.8119
3.89 0.00411268 7.82777 -0.0718651 -20.827
3.9 0.0823672 7.82114 -1.43766 -20.8084
3.91 0.160496 7.80258 -2.79249 -20.7562
3.92 0.238379 7.77221 -4.12612 -20.6711
3.93 0.315901 7.73028 -5.42873 -20.554
3.94 0.392947 7.67709 -6.69104 -20.4065
3.95 0.469407 7.61304 -7.90452 -20.2302
3.96 0.545173 7.53858 -9.06146 -20.0272
3.97 0.620146 7.45425 -10.1551 -19.7996
3.98 0.694227 7.36062 -11.1798 -19.5499
3.99 0.767329 7.25833 -12.1308 -19.2807
4 0.839367 7.14803 -13.0046 -18.9947
4.01 0.910265 7.03041 -13.7987 -18.6945
4.02 0.979953 6.90618 -14.5117 -18.3829
4.03 1.04837 6.77606 -15.1432 -18.0624
4.04 1.11546 6.64075 -15.6937 -17.7357
4.05 1.18117 6.50096 -16.1644 -17.405
4.06 1.24546 6.35739 -16.5575 -17.0727
4.07 1.30831 6.2107 -16.8755 -16.7408
4.08 1.36967 6.06154 -17.1218 -16.4113
4.09 1.42953 5.91052 -17.3 -16.0859
4.1 1.48788 5.75822 -17.414 -15.766
4.11 1.54469 5.60518 -17.4681 -15.453
4.12 1.59998 5.45192 -17.4666 -15.148
4.13 1.65373 5.2989 -17.414 -14.8518
4.14 1.70596 5.14655 -17.3147 -14.5654
4.15 1.75667 4.99526 -17.1731 -14.2892
4.16 1.80587 4.84538 -16.9935 -14.0237
4.17 1.85358 4.69722 -16.78 -13.7692
4.18 1.89982 4.55108 -16.5367 -13.526
4.19 1.94461 4.40718 -16.2673 -13.2939
4.2 1.98797 4.26575 -15.9754 -13.0731
4.21 2.02993 4.12697 -15.6644 -12.8635
4.22 2.07052 3.99099 -15.3372 -12.6648
4.23 2.10976 3.85793 -14.9969 -12.4768
4.24 2.14769 3.72791 -14.6461 -12.2993
4.25 2.18433 3.60101 -14.2871 -12.1318
4.26 2.21972 3.47728 -13.9222 -11.9742
4.27 2.25389 3.35677 -13.5533 -11.826
4.28 2.28687 3.23951 -13.1823 -11.6867
4.29 2.31869 3.1255 -12.8107 -11.5561
4.3 2.34939 3.01476 -12.4399 -11.4337
4.31 2.37899 2.90725 -12.0711 -11.3191
4.32 2.40754 2.80297 -11.7056 -11.2119
4.33 2.43506 2.70188 -11.3441 -11.1118
4.34 2.46159 2.60394 -10.9876 -11.0182
4.35 2.48715 2.5091 -10.6367 -10.9309
4.36 2.51178 2.41731 -10.2921 -10.8496
4.37 2.53551 2.32852 -9.95414 -10.7737
4.38 2.55836 2.24266 -9.62335 -10.7031
4.39 2.58037 2.15967 -9.30003 -10.6373
4.4 2.60157 2.07948 -8.98444 -10.5761
4.41 2.62197 2.00202 -8.67677 -10.5192
4.42 2.64162 1.92723 -8.37716 -10.4663
4.43 2.66052 1.85503 -8.08571 -10.4171
4.44 2.67872 1.78535 -7.80245 -10.3715
4.45 2.69624 1.71812 -7.52741 -10.3291
4.46 2.71309 1.65327 -7.26056 -10.2897
4.47 2.72931 1.59072 -7.00184 -10.2532
4.48 2.74492 1.5304 -6.75119 -10.2193
4.49 2.75993 1.47225 -6.50849 -10.1879
4.5 2.77437 1.4162 -6.27364 -10.1588
4.51 2.78826 1.36217 -6.04651 -10.1317
4.52 2.80162 1.3101 -5.82695 -10.1067
4.53 2.81447 1.25992 -5.61481 -10.0835
4.54 2.82682 1.21157 -5.40993 -10.062
4.55 2.8387 1.16499 -5.21213 -10.042
4.56 2.85013 1.12011 -5.02126 -10.0236
4.57 2.86111 1.07687 -4.83713 -10.0065
4.58 2.87167 1.03523 -4.65956 -9.99064
4.59 2.88182 0.995109 -4.48838 -9.97598
4.6 2.89158 0.956465 -4.3234 -9.96241
4.61 2.90096 0.919242 -4.16444 -9.94984
4.62 2.90997 0.883388 -4.01134 -9.93821
4.63 2.91863 0.848851 -3.8639 -9.92744
4.64 2.92695 0.815584 -3.72197 -9.91747
4.65 2.93494 0.783538 -3.58535 -9.90825
4.66 2.94262 0.752668 -3.4539 -9.89971
4.67 2.95 0.722929 -3.32745 -9.89181
4.68 2.95709 0.694277 -3.20582 -9.8845
4.69 2.96389 0.666672 -3.08888 -9.87774
4.7 2.97042 0.640073 -2.97645 -9.87148
4.71 2.97669 0.614441 -2.8684 -9.8657
4.72 2.98271 0.589738 -2.76458 -9.86034
4.73 2.98849 0.565928 -2.66485 -9.85539
4.74 2.99404 0.542975 -2.56907 -9.85081
4.75 2.99935 0.520845 -2.47711 -9.84657
4.76 3.00446 0.499506 -2.38884 -9.84265
4.77 3.00935 0.478925 -2.30414 -9.83903
4.78 3.01404 0.459072 -2.22289 -9.83567
4.79 3.01853 0.439917 -2.14497 -9.83257
4.8 3.02284 0.421432 -2.07027 -9.82971
4.81 3.02696 0.403588 -1.99869 -9.82706
4.82 3.03091 0.386358 -1.93012 -9.82461
4.83 3.03469 0.369718 -1.86446 -9.82234
4.84 3.03831 0.35364 -1.80161 -9.82025
4.85 3.04177 0.338102 -1.7415 -9.81832
4.86 3.04507 0.32308 -1.68401 -9.81653
4.87 3.04823 0.308551 -1.62908 -9.81488
4.88 3.05124 0.294492 -1.57662 -9.81335
4.89 3.05412 0.280884 -1.52656 -9.81194
4.9 3.05686 0.267704 -1.47881 -9.81064
4.91 3.05948 0.254933 -1.43331 -9.80944
4.92 3.06196 0.242552 -1.38999 -9.80833
4.93 3.06433 0.230541 -1.34879 -9.80731
4.94 3.06657 0.218883 -1.30965 -9.80636
4.95 3.06871 0.207559 -1.27249 -9.80549
4.96 3.07073 0.196553 -1.23728 -9.80469
4.97 3.07264 0.185847 -1.20396 -9.80396
4.98 3.07444 0.175425 -1.17247 -9.80328
4.99 3.07615 0.165272 -1.14277 -9.80266
5 3.07775 0.155371 -1.11482 -9.80209
5.01 3.07926 0.145709 -1.08857 -9.80156
5.02 3.08067 0.136269 -1.06398 -9.80108
