#t   #theta   #omega   #xddot    #yddot
2.6 -3.09157 0.00537612 0.735722 -9.79774
2.61 -3.09148 0.013046 0.737076 -9.79774
2.62 -3.09131 0.0207358 0.739558 -9.79774
2.63 -3.09107 0.0284574 0.743172 -9.79774
2.64 -3.09074 0.0362225 0.747924 -9.79774
2.65 -3.09034 0.0440431 0.753821 -9.79774
2.66 -3.08986 0.0519311 0.760872 -9.79774
2.67 -3.0893 0.0598986 0.769088 -9.79774
2.68 -3.08866 0.0679579 0.778481 -9.79774
2.69 -3.08794 0.0761211 0.789065 -9.79774
2.7 -3.08714 0.0844009 0.800857 -9.79774
2.71 -3.08626 0.0928099 0.813874 -9.79774
2.72 -3.08528 0.101361 0.828136 -9.79774
2.73 -3.08423 0.110067 0.843665 -9.79774
2.74 -3.08308 0.118942 0.860484 -9.79774
2.75 -3.08185 0.127998 0.878618 -9.79774
2.76 -3.08052 0.137251 0.898096 -9.79774
2.77 -3.0791 0.146714 0.918946 -9.79774
2.78 -3.07759 0.156401 0.9412 -9.79774
2.79 -3.07597 0.166327 0.964892 -9.79774
2.8 -3.07426 0.176508 0.990057 -9.79774
2.81 -3.07244 0.186958 1.01673 -9.79774
2.82 -3.07052 0.197695 1.04496 -9.79774
2.83 -3.06849 0.208734 1.07478 -9.79774
2.84 -3.06634 0.220092 1.10624 -9.79774
2.85 -3.06408 0.231786 1.13939 -9.79774
2.86 -3.06171 0.243835 1.17427 -9.79774
2.87 -3.05921 0.256257 1.21094 -9.79774
2.88 -3.05658 0.269069 1.24945 -9.79774
2.89 -3.05382 0.282293 1.28986 -9.79774
2.9 -3.05093 0.295948 1.33223 -9.79774
2.91 -3.0479 0.310055 1.37662 -9.79774
2.92 -3.04473 0.324635 1.4231 -9.79774
2.93 -3.04141 0.339711 1.47174 -9.79774
2.94 -3.03793 0.355304 1.5226 -9.79774
2.95 -3.0343 0.371439 1.57577 -9.79774
2.96 -3.0305 0.388141 1.63131 -9.79774
2.97 -3.02654 0.405434 1.68932 -9.79774
