#t   #theta   #omega   #xddot    #yddot
1.86 -2.70134 -1.69853 5.81386 -9.59579
1.87 -2.718 -1.63437 5.60742 -9.61076
1.88 -2.73403 -1.5725 5.40733 -9.62465
1.89 -2.74946 -1.51284 5.2135 -9.63753
1.9 -2.76429 -1.45532 5.02587 -9.64948
1.91 -2.77857 -1.39987 4.84433 -9.66056
1.92 -2.7923 -1.34643 4.66878 -9.67084
1.93 -2.8055 -1.29493 4.49911 -9.68036
1.94 -2.8182 -1.24531 4.33519 -9.68918
1.95 -2.83042 -1.19749 4.17691 -9.69736
1.96 -2.84216 -1.15142 4.02412 -9.70494
1.97 -2.85345 -1.10704 3.87669 -9.71195
1.98 -2.86431 -1.06429 3.73448 -9.71845
1.99 -2.87474 -1.0231 3.59735 -9.72447
2 -2.88477 -0.983431 3.46517 -9.73004
2.01 -2.89441 -0.945216 3.33778 -9.7352
2.02 -2.90368 -0.908407 3.21506 -9.73998
2.03 -2.91259 -0.872951 3.09687 -9.7444
2.04 -2.92114 -0.838798 2.98306 -9.74849
2.05 -2.92937 -0.8059 2.8735 -9.75228
2.06 -2.93727 -0.774209 2.76807 -9.75578
2.07 -2.94486 -0.743681 2.66662 -9.75903
2.08 -2.95214 -0.714271 2.56903 -9.76203
2.09 -2.95914 -0.685936 2.47518 -9.7648
2.1 -2.96587 -0.658635 2.38495 -9.76737
2.11 -2.97232 -0.632329 2.29821 -9.76975
2.12 -2.97852 -0.606977 2.21485 -9.77195
2.13 -2.98446 -0.582544 2.13476 -9.77398
2.14 -2.99017 -0.558993 2.05783 -9.77587
2.15 -2.99565 -0.53629 1.98396 -9.77761
2.16 -3.0009 -0.514399 1.91303 -9.77922
2.17 -3.00594 -0.493289 1.84496 -9.78071
2.18 -3.01077 -0.472929 1.77965 -9.78208
2.19 -3.0154 -0.453287 1.717 -9.78336
2.2 -3.01983 -0.434335 1.65693 -9.78453
2.21 -3.02409 -0.416044 1.59934 -9.78562
2.22 -3.02816 -0.398386 1.54417 -9.78663
2.23 -3.03206 -0.381335 1.49132 -9.78756
2.24 -3.03579 -0.364865 1.44072 -9.78842
2.25 -3.03935 -0.348951 1.3923 -9.78922
2.26 -3.04277 -0.333569 1.34599 -9.78995
2.27 -3.04603 -0.318696 1.30171 -9.79063
2.28 -3.04914 -0.304309 1.25941 -9.79126
2.29 -3.05212 -0.290387 1.21902 -9.79184
2.3 -3.05495 -0.276909 1.18048 -9.79237
2.31 -3.05766 -0.263853 1.14373 -9.79287
2.32 -3.06023 -0.2512 1.10873 -9.79332
2.33 -3.06268 -0.238932 1.07541 -9.79374
2.34 -3.06501 -0.227028 1.04372 -9.79413
2.35 -3.06722 -0.215471 1.01363 -9.79449
2.36 -3.06932 -0.204244 0.985081 -9.79482
2.37 -3.07131 -0.193329 0.958035 -9.79512
2.38 -3.07319 -0.18271 0.93245 -9.7954
2.39 -3.07496 -0.17237 0.908289 -9.79566
2.4 -3.07664 -0.162293 0.885514 -9.7959
2.41 -3.07821 -0.152465 0.864091 -9.79611
2.42 -3.07969 -0.142871 0.843988 -9.79631
2.43 -3.08107 -0.133495 0.825175 -9.79649
2.44 -3.08236 -0.124323 0.807623 -9.79666
2.45 -3.08356 -0.115341 0.791305 -9.79681
2.46 -3.08466 -0.106536 0.776198 -9.79695
2.47 -3.08569 -0.097894 0.762278 -9.79707
2.48 -3.08662 -0.0894018 0.749524 -9.79718
2.49 -3.08747 -0.0810465 0.737916 -9.79728
2.5 -3.08824 -0.0728152 0.727438 -9.79737
2.51 -3.08893 -0.0646954 0.718072 -9.79745
2.52 -3.08954 -0.0566746 0.709806 -9.79752
2.53 -3.09007 -0.0487406 0.702626 -9.79757
2.54 -3.09051 -0.0408812 0.696522 -9.79762
2.55 -3.09088 -0.0330844 0.691484 -9.79766
2.56 -3.09118 -0.0253383 0.687504 -9.7977
2.57 -3.09139 -0.017631 0.684578 -9.79772
